0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,328,400,363,286,119,50,54,50,74,72,96,125,187,242,225,166,118,70,26,5,1,0,0
532,721,844,874,686,462,240,198,237,246,304,358,423,543,584,488,365,275,135,57,12,5,0,0
606,834,1039,1124,1039,876,808,611,639,604,612,667,701,664,695,553,432,256,149,59,10,1,0,0
625,809,1051,1164,1217,1253,1340,1273,1149,1099,1006,904,830,740,669,589,368,262,112,42,5,0,0,0
494,801,978,1158,1364,1444,1460,1498,1481,1402,1203,1101,918,777,642,495,328,167,58,25,4,0,0,0
354,675,845,1024,1187,1333,1385,1436,1326,1326,1133,971,884,712,488,378,229,114,50,10,1,0,0,0
179,380,568,782,940,999,1166,1083,1037,912,856,757,628,459,352,200,134,44,25,3,1,0,0,0
86,184,341,463,612,685,743,728,681,593,552,440,359,297,183,102,80,28,7,1,0,0,0,0
54,80,142,184,291,329,348,382,332,310,257,224,154,121,67,48,27,10,2,0,0,0,0,0
28,49,49,76,108,134,124,166,152,132,126,112,80,55,52,23,15,6,0,0,0,0,0,0
10,17,31,46,52,64,68,70,66,83,62,39,43,26,22,15,2,6,0,0,0,0,0,0
6,9,17,19,29,39,43,47,38,36,40,19,20,15,9,7,6,0,0,0,0,0,0,0
2,3,8,14,22,18,13,25,20,19,20,15,13,5,7,2,3,0,0,0,0,0,0,0
2,2,3,5,9,10,12,11,7,12,6,10,9,1,3,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
